EventID,Event
60,Basketball Men's Basketball
159,Judo Men's Extra-Lightweight
220,Speed Skating Women's 500 metres
218,"Speed Skating Women's 1,000 metres"
92,Cross Country Skiing Men's 10 kilometres
97,Cross Country Skiing Men's 50 kilometres
93,Cross Country Skiing Men's 10/15 kilometres Pursuit
96,Cross Country Skiing Men's 4 x 10 kilometres Relay
95,Cross Country Skiing Men's 30 kilometres
157,Ice Hockey Men's Ice Hockey
58,Badminton Men's Singles
198,Sailing Women's Windsurfer
143,Gymnastics Men's Individual All-Around
147,Gymnastics Men's Team All-Around
140,Gymnastics Men's Floor Exercise
142,Gymnastics Men's Horse Vault
144,Gymnastics Men's Parallel Bars
141,Gymnastics Men's Horizontal Bar
146,Gymnastics Men's Rings
145,Gymnastics Men's Pommelled Horse
36,Athletics Men's Shot Put
2,Alpine Skiing Men's Downhill
5,Alpine Skiing Men's Super G
3,Alpine Skiing Men's Giant Slalom
4,Alpine Skiing Men's Slalom
1,Alpine Skiing Men's Combined
276,Weightlifting Women's Super-Heavyweight
286,"Wrestling Men's Light-Heavyweight, Greco-Roman"
182,Rowing Men's Lightweight Double Sculls
193,Sailing Men's Two Person Dinghy
68,Bobsleigh Men's Four
223,Swimming Men's 100 metres Butterfly
226,Swimming Men's 200 metres Butterfly
230,Swimming Men's 4 x 100 metres Medley Relay
135,Football Women's Football
120,"Equestrianism Mixed Jumping, Individual"
94,Cross Country Skiing Men's 15 kilometres
202,"Shooting Men's Rapid-Fire Pistol, 25 metres"
206,Shooting Men's Trap
20,Athletics Men's 4 x 100 metres Relay
33,Athletics Men's Long Jump
54,Athletics Women's Javelin Throw
283,"Wrestling Men's Heavyweight, Freestyle"
35,Athletics Men's Pole Vault
252,Taekwondo Men's Flyweight
24,"Athletics Men's 5,000 metres"
77,Boxing Men's Light-Welterweight
268,Weightlifting Men's Lightweight
270,Weightlifting Men's Middleweight
134,Football Men's Football
180,Rowing Men's Coxless Pairs
127,"Fencing Men's epee, Individual"
255,Taekwondo Women's Flyweight
61,Basketball Women's Basketball
113,Diving Men's Platform
84,"Canoeing Men's Canadian Doubles, 500 metres"
83,"Canoeing Men's Canadian Doubles, 1,000 metres"
87,"Canoeing Men's Kayak Fours, 1,000 metres"
154,Handball Men's Handball
185,Rowing Women's Coxless Pairs
79,Boxing Men's Middleweight
262,Water Polo Men's Water Polo
256,Tennis Men's Doubles
279,"Wrestling Men's Featherweight, Freestyle"
195,Sailing Mixed Two Person Heavyweight Dinghy
13,"Athletics Men's 1,500 metres"
112,Cycling Women's Sprint
109,Cycling Women's 500 metres Time Trial
16,Athletics Men's 110 metres Hurdles
55,Athletics Women's Marathon
15,Athletics Men's 100 metres
31,Athletics Men's High Jump
123,"Fencing Men's Foil, Individual"
124,"Fencing Men's Foil, Team"
126,"Fencing Men's Sabre, Team"
78,Boxing Men's Lightweight
81,Boxing Men's Welterweight
183,Rowing Men's Quadruple Sculls
181,Rowing Men's Double Sculls
178,Rowing Men's Coxed Pairs
176,Rowing Men's Coxed Eights
22,Athletics Men's 400 metres
30,Athletics Men's Hammer Throw
23,Athletics Men's 400 metres Hurdles
26,Athletics Men's 800 metres
106,"Cycling Men's Road Race, Individual"
224,Swimming Men's 100 metres Freestyle
156,Hockey Men's Hockey
8,Alpine Skiing Women's Slalom
189,Rowing Women's Single Sculls
234,Swimming Men's 50 metres Freestyle
271,Weightlifting Women's Featherweight
263,Water Polo Women's Water Polo
155,Handball Women's Handball
131,Figure Skating Men's Singles
266,Weightlifting Men's Heavyweight
121,"Equestrianism Mixed Three-Day Event, Individual"
122,"Equestrianism Mixed Three-Day Event, Team"
133,Figure Skating Mixed Team
194,Sailing Mixed Three Person Keelboat
111,"Cycling Women's Road Race, Individual"
214,Softball Women's Softball
12,Archery Women's Individual
260,Volleyball Men's Volleyball
254,Taekwondo Women's Featherweight
34,Athletics Men's Marathon
21,Athletics Men's 4 x 400 metres Relay
45,"Athletics Women's 3,000 metres"
115,Diving Women's Platform
200,"Shooting Men's Air Rifle, 10 metres"
71,Boxing Men's Featherweight
244,Synchronized Swimming Women's Duet
265,Weightlifting Men's Flyweight
288,"Wrestling Men's Lightweight, Greco-Roman"
