ID,Name,Games,EventID,Medal
1,A Dijiang,1992 Summer,60,
2,A Lamusi,2012 Summer,159,
5,Christine Jacoba Aaftink,1988 Winter,220,
5,Christine Jacoba Aaftink,1988 Winter,218,
5,Christine Jacoba Aaftink,1992 Winter,220,
5,Christine Jacoba Aaftink,1992 Winter,218,
5,Christine Jacoba Aaftink,1994 Winter,220,
5,Christine Jacoba Aaftink,1994 Winter,218,
6,Per Knut Aaland,1992 Winter,92,
6,Per Knut Aaland,1992 Winter,97,
6,Per Knut Aaland,1992 Winter,93,
6,Per Knut Aaland,1992 Winter,96,
6,Per Knut Aaland,1994 Winter,92,
6,Per Knut Aaland,1994 Winter,95,
6,Per Knut Aaland,1994 Winter,93,
6,Per Knut Aaland,1994 Winter,96,
7,John Aalberg,1992 Winter,92,
7,John Aalberg,1992 Winter,97,
7,John Aalberg,1992 Winter,93,
7,John Aalberg,1992 Winter,96,
7,John Aalberg,1994 Winter,92,
7,John Aalberg,1994 Winter,95,
7,John Aalberg,1994 Winter,93,
7,John Aalberg,1994 Winter,96,
9,Antti Sami Aalto,2002 Winter,157,
11,Jorma Ilmari Aalto,1980 Winter,95,
12,Jyri Tapani Aalto,2000 Summer,58,
13,Minna Maarit Aalto,1996 Summer,198,
13,Minna Maarit Aalto,2000 Summer,198,
16,Juhamatti Tapio Aaltonen,2014 Winter,157,Bronze
17,Paavo Johannes Aaltonen,1948 Summer,143,Bronze
17,Paavo Johannes Aaltonen,1948 Summer,147,Gold
17,Paavo Johannes Aaltonen,1948 Summer,140,
17,Paavo Johannes Aaltonen,1948 Summer,142,Gold
17,Paavo Johannes Aaltonen,1948 Summer,144,
17,Paavo Johannes Aaltonen,1948 Summer,141,
17,Paavo Johannes Aaltonen,1948 Summer,146,
17,Paavo Johannes Aaltonen,1948 Summer,145,Gold
17,Paavo Johannes Aaltonen,1952 Summer,143,
17,Paavo Johannes Aaltonen,1952 Summer,147,Bronze
17,Paavo Johannes Aaltonen,1952 Summer,140,
17,Paavo Johannes Aaltonen,1952 Summer,142,
17,Paavo Johannes Aaltonen,1952 Summer,144,
17,Paavo Johannes Aaltonen,1952 Summer,141,
17,Paavo Johannes Aaltonen,1952 Summer,146,
17,Paavo Johannes Aaltonen,1952 Summer,145,
18,Timo Antero Aaltonen,2000 Summer,36,
20,Kjetil Andr Aamodt,1992 Winter,2,
20,Kjetil Andr Aamodt,1992 Winter,5,Gold
20,Kjetil Andr Aamodt,1992 Winter,3,Bronze
20,Kjetil Andr Aamodt,1992 Winter,4,
20,Kjetil Andr Aamodt,1994 Winter,2,Silver
20,Kjetil Andr Aamodt,1994 Winter,5,Bronze
20,Kjetil Andr Aamodt,1994 Winter,3,
20,Kjetil Andr Aamodt,1994 Winter,4,
20,Kjetil Andr Aamodt,1994 Winter,1,Silver
20,Kjetil Andr Aamodt,1998 Winter,2,
20,Kjetil Andr Aamodt,1998 Winter,5,
20,Kjetil Andr Aamodt,1998 Winter,3,
20,Kjetil Andr Aamodt,1998 Winter,1,
20,Kjetil Andr Aamodt,2002 Winter,2,
20,Kjetil Andr Aamodt,2002 Winter,5,Gold
20,Kjetil Andr Aamodt,2002 Winter,3,
20,Kjetil Andr Aamodt,2002 Winter,4,
20,Kjetil Andr Aamodt,2002 Winter,1,Gold
20,Kjetil Andr Aamodt,2006 Winter,2,
20,Kjetil Andr Aamodt,2006 Winter,5,Gold
22,Andreea Aanei,2016 Summer,276,
23,Fritz Aanes,2000 Summer,286,
23,Fritz Aanes,2004 Summer,286,
30,Pepijn Aardewijn,1996 Summer,182,Silver
30,Pepijn Aardewijn,2000 Summer,182,
33,Mika Lauri Aarnikka,1992 Summer,193,
33,Mika Lauri Aarnikka,1996 Summer,193,
35,Dagfinn Sverre Aarskog,1998 Winter,68,
36,Stefan Remco Aartsen,1996 Summer,223,
36,Stefan Remco Aartsen,1996 Summer,226,
36,Stefan Remco Aartsen,1996 Summer,230,
36,Stefan Remco Aartsen,2000 Summer,223,
36,Stefan Remco Aartsen,2000 Summer,226,
37,Ann Kristin Aarnes,1996 Summer,135,Bronze
43,Morten Gjerdrum Aasen,1992 Summer,120,
44,Meelis Aasme,1998 Winter,95,
44,Meelis Aasme,1998 Winter,97,
44,Meelis Aasme,2002 Winter,94,
44,Meelis Aasme,2002 Winter,97,
44,Meelis Aasme,2002 Winter,96,
46,Hans Aasns,1936 Summer,202,
46,Hans Aasns,1948 Summer,202,
46,Hans Aasns,1952 Summer,206,
46,Hans Aasns,1956 Summer,206,
46,Hans Aasns,1960 Summer,206,
47,Erling Rudolf Aastad,1920 Summer,20,
47,Erling Rudolf Aastad,1920 Summer,33,
47,Erling Rudolf Aastad,1924 Summer,33,
47,Erling Rudolf Aastad,1928 Summer,33,
49,Moonika Aava,2004 Summer,54,
49,Moonika Aava,2008 Summer,54,
50,Arvi Aavik,1992 Summer,283,
