ID,Name,Sex,Height,Weight
1,A Dijiang,M,180.0,80.0
2,A Lamusi,M,170.0,60.0
5,Christine Jacoba Aaftink,F,185.0,82.0
6,Per Knut Aaland,M,188.0,75.0
7,John Aalberg,M,183.0,72.0
9,Antti Sami Aalto,M,186.0,96.0
11,Jorma Ilmari Aalto,M,182.0,76.0
12,Jyri Tapani Aalto,M,172.0,70.0
13,Minna Maarit Aalto,F,159.0,55.0
16,Juhamatti Tapio Aaltonen,M,184.0,85.0
17,Paavo Johannes Aaltonen,M,175.0,64.0
18,Timo Antero Aaltonen,M,189.0,130.0
20,Kjetil Andr Aamodt,M,176.0,85.0
22,Andreea Aanei,F,170.0,125.0
23,Fritz Aanes,M,187.0,89.0
30,Pepijn Aardewijn,M,189.0,72.0
33,Mika Lauri Aarnikka,M,187.0,76.0
35,Dagfinn Sverre Aarskog,M,190.0,98.0
36,Stefan Remco Aartsen,M,194.0,78.0
37,Ann Kristin Aarnes,F,182.0,64.0
43,Morten Gjerdrum Aasen,M,185.0,75.0
44,Meelis Aasme,M,182.0,73.0
46,Hans Aasns,M,194.0,93.0
47,Erling Rudolf Aastad,M,177.0,74.0
49,Moonika Aava,F,168.0,65.0
50,Arvi Aavik,M,185.0,106.0
51,Nstor Abad Sanjun,M,167.0,64.0
52,Patrick Abada,M,189.0,80.0
53,Talaat Abada,M,172.0,58.0
55,Antonio Abadia Beci,M,170.0,65.0
57,Borislav Abadzhiev,M,176.0,66.0
59,Ivan Nikolov Abadzhiev,M,164.0,71.0
60,Mikhail Abadzhiev,M,172.0,75.0
61,Stefan Abadzhiev,M,175.0,72.0
62,Giovanni Abagnale,M,198.0,90.0
63,Jos Luis Abajo Gmez,M,194.0,87.0
65,Patimat Abakarova,F,165.0,49.0
68,Pablo Martn Abal,M,178.0,76.0
69,Tamara Abalde Daz,F,185.0,72.0
70,Jess Iory Aball Martnez,M,167.0,65.0
71,Juan Antonio Aball Delgado,M,172.0,82.0
72,Aleksey Aleksandrovich Abalmasov,M,180.0,83.0
73,Luc Abalo,M,182.0,86.0
74,Mara Laura Abalo,F,182.0,73.0
75,Giorgos Abalof,M,178.0,70.0
76,Jouan Patrice Abanda Etong,M,185.0,82.0
77,Antoine Abang,M,166.0,75.0
80,Jos Mara Abarca Plotas,M,186.0,83.0
81,Georgios Abaris,M,190.0,77.0
82,Enrique Abaroa Martnez,M,183.0,75.0
84,Stephen Anthony Abas,M,165.0,55.0
85,Alejandro Abascal Garca,M,181.0,82.0
86,Jos Manuel Abascal Gmez,M,182.0,67.0
90,Tamila Rashidovna Abasova,F,163.0,60.0
91,Emanuele Abate,M,190.0,80.0
92,Ignazio Abate,M,180.0,73.0
93,Jol Marc Abati,M,190.0,85.0
95,Georgia Abatzidou,F,155.0,43.0
96,Carlos Rodolfo Abaunza Balladares,M,168.0,60.0
97,Carlos Alberto Abaunza,M,180.0,70.0
98,Hctor Abaunza,M,169.0,75.0
99,Pter Abay,M,181.0,79.0
101,Adeyemi Abayomi,M,170.0,51.0
105,Ilyas Abbadi,M,175.0,75.0
106,Agostino Abbagnale,M,188.0,96.0
107,Carmine Abbagnale,M,182.0,90.0
108,Giuseppe Abbagnale,M,187.0,97.0
110,Abubakar Abbas Abbas,M,175.0,66.0
111,Aqarab Abbas,M,190.0,88.0
112,Aziz Abbas,M,169.0,67.0
114,Essa Abbas Faleh Hashem,M,160.0,65.0
115,Ghulam Abbas,M,181.0,74.0
117,Maher Abbas,M,178.0,78.0
118,Mahmoud Abbas,M,165.0,65.0
120,Mohammed Abbas Sabih,M,170.0,70.0
121,Muhammad Abbas,M,168.0,55.0
122,Nader Sufyan Abbas,M,173.0,77.0
123,Sohail Abbas,M,178.0,80.0
125,Zulkifli Abbas,M,170.0,62.0
126,Forough Abbasi,F,164.0,58.0
127,Shakeel Abbasi,M,165.0,60.0
128,Soulmaz Abbasi Azad,F,173.0,60.0
129,Ruslan Abbasov,M,181.0,74.0
130,Tural Abbasov,M,182.0,76.0
131,Tran Abbasova,F,159.0,53.0
132,Simona Abbate,F,171.0,64.0
134,Christian Abbiati,M,192.0,90.0
135,Lois Abbingh,F,178.0,72.0
136,Alessandro Abbio,M,195.0,85.0
137,Giordano Giulio Abbondati,M,175.0,64.0
138,Salwan Jasim Abbood Abbood,M,180.0,104.0
141,Clare Abbott,F,167.0,58.0
144,Geoffrey Grant Abbott,M,179.0,80.0
145,Jeremy Abbott,M,175.0,70.0
146,Jeremy Abbott,M,179.0,71.0
147,Joanne Abbott,F,160.0,57.0
149,Mara Katherine Abbott,F,163.0,52.0
152,Matt Abbott,M,185.0,91.0
153,Monica Cecilia Abbott,F,191.0,88.0
154,Khadija Abbouda,F,165.0,57.0
160,Ali Abdalla Afringi,M,163.0,57.0
161,Hossam Abdalla,M,203.0,97.0
165,Nia Nicole Abdallah,F,175.0,56.0
166,Omari Abdallah,M,168.0,57.0
168,Younis Abdallah Rabee,M,169.0,68.0
169,Raida Abdallah Bader,F,158.0,49.0
170,Maha Abdalsalam Gouda,F,172.0,61.0
171,Mahmoud Abdel Aziz,M,174.0,70.0
172,Mohamed Abdel Ellah,M,168.0,68.0
177,Mohamed Abdel Fattah,M,174.0,69.0
178,Sayed Abdel Gadir,M,180.0,56.0
180,Heba Abdel Gawad,F,154.0,48.0
181,Sara Abdel Gawad,F,153.0,46.0
184,Ragy Abdel Hady,M,186.0,100.0
187,Moustafa Ali Abdel Halim,M,152.0,52.0
188,Mohamed Abdel Hamed,M,193.0,82.0
196,Mohamed Abdel Khaled,M,183.0,76.0
197,Abdel Latif Abdel Latif,M,172.0,68.0
199,Amir Abdel Meguid,M,178.0,67.0
201,Karim Abdel Mohsen,M,188.0,92.0
202,Awad Abdel Nabi Awad,M,198.0,80.0
203,Ahmed Abdel Naeim,M,197.0,87.0
204,Moustafa Abdel Naser,M,176.0,74.0
210,Khaled Abdel Rahman,M,188.0,79.0
212,Yasser Abdel Rahman Sakr,M,180.0,120.0
213,Samy Abdel Razek,M,170.0,60.0
215,Ibrahim Ahmed Abdel Rehim,M,190.0,83.0
216,Kamal Abdel Rehim,M,190.0,95.0
217,Reskalla Mohamed Abdel Rehim,M,165.0,48.0
218,Ahmed Ali Abdel Samad,M,195.0,95.0
222,Mohamed Said Abdel Wehab,M,157.0,48.0
227,Ahmed Abdelaal,M,188.0,89.0
228,Mahmoud Abdelaal,M,176.0,60.0
229,Mohamed Ali Abdelaal,M,175.0,81.0
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173.0,77.0
233,Aziza Abdelfattah,F,159.0,51.0
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170.0,94.0
238,Mohamed Abdellah,M,170.0,70.0
239,Ayoub Abdellaoui,M,184.0,68.0
240,Leila Abdelmoez,F,160.0,46.0
241,Sayed Abdelmonem Sayed Hamed,M,170.0,60.0
242,Ahmed Abdelrahman,M,165.0,60.0
244,Raouf Abdelraouf,M,167.0,63.0
246,Mamdouh Abdelrehim,M,207.0,90.0
248,Rda Abdenouz,M,170.0,63.0
249,Mouni Abderrahim,F,173.0,60.0
250,Saeid Morad Abdevali,M,170.0,80.0
251,Bashir Abdi,M,176.0,56.0
252,Youcef Abdi,M,178.0,66.0
253,Jamal Abdi Hassan Abdullah,M,177.0,65.0
254,Talal Omar Abdillahi,M,170.0,57.0
257,Ali Abdo,M,169.0,74.0
259,Reema Abdo,F,173.0,59.0
261,Nasrollah Abdollahi,M,183.0,75.0
262,Yhyacinthe Mewoli Abdon,M,176.0,60.0
263,Hassane Abdou,M,185.0,67.0
264,Justin Abdou,M,175.0,85.0
266,Raouf Abdou,M,165.0,60.0
269,Fawziya Abdoulkarim,F,180.0,67.0
272,Berik Abdrakhmanov,M,165.0,60.0
273,Maizurah Abdul Rahim,F,147.0,50.0
